year,month_name,quarter,lastSaleDate,date_id
2014,April,2,2014-04-02 00:00:00+00:00,301
1993,July,3,1993-07-02 00:00:00+00:00,302
2002,April,2,2002-04-24 00:00:00+00:00,303
2008,September,3,2008-09-11 00:00:00+00:00,304
2016,November,4,2016-11-18 00:00:00+00:00,305
2018,September,3,2018-09-25 00:00:00+00:00,306
2022,September,3,2022-09-02 00:00:00+00:00,307
1999,February,1,1999-02-26 00:00:00+00:00,308
2012,August,3,2012-08-10 00:00:00+00:00,309
1999,November,4,1999-11-01 00:00:00+00:00,310
2022,July,3,2022-07-12 00:00:00+00:00,311
2022,October,4,2022-10-17 00:00:00+00:00,312
2015,July,3,2015-07-16 00:00:00+00:00,313
2021,July,3,2021-07-07 00:00:00+00:00,314
2002,May,2,2002-05-08 00:00:00+00:00,315
1991,May,2,1991-05-17 00:00:00+00:00,316
2021,November,4,2021-11-17 00:00:00+00:00,317
2014,February,1,2014-02-14 00:00:00+00:00,318
2019,October,4,2019-10-11 00:00:00+00:00,319
1991,July,3,1991-07-23 00:00:00+00:00,320
